seed,Precision,HR,F1,diversity,CC,Genres
0,0.10418946381116141,0.013433435695164945,0.023798468973223588,0.05200281096275474,0.12577441728440383,0
0,0.12232296388932257,0.017134550502392817,0.030058602600312546,0.05370946692099187,0.13600125058619736,1
0,0.14683966442603158,0.02170545486922636,0.037820397559281266,0.057725127999196865,0.1560517676871424,2
0,0.17237246626022518,0.027629039836692525,0.047624498734973236,0.063447445035639,0.18618102235421785,3
0,0.19188682194778756,0.031797014916164545,0.054554036851578086,0.07198072482682462,0.22378088413153208,4
0,0.21364181126569837,0.03645809659142581,0.06228689852650118,0.07539403674329886,0.2684564310573124,5
0,0.23581366265437054,0.04149558065040744,0.07057265557057477,0.07971087240236924,0.32118674049513174,6
0,0.2516283674639167,0.04389433405076942,0.07474931408991622,0.08001204698323461,0.36803435821067193,7
0,0.26072117138241974,0.04617979838034577,0.07846212501208244,0.07609677743198474,0.42436833054967305,8
0,0.25928820801417396,0.044519159467995874,0.07599086998067195,0.06515410099387611,0.47833277111803246,9
0,0.25261841488197717,0.04297494684917825,0.07345403759473117,0.051500853327979115,0.5213957200332373,10
0,0.23810640404356295,0.03936423103444935,0.06755940495769959,0.04286718200983837,0.5553014159597872,11
0,0.22046792767443174,0.03440865710481644,0.05952689088744129,0.03594016664993475,0.5819915585430747,12
0,0.20176124224897163,0.02960169643362018,0.05162862366057543,0.030519024194357997,0.5991130710941958,13
0,0.18487832838309573,0.025604098538374333,0.04497898477098813,0.02539905631964662,0.6108290892935263,14
0,0.17052264082121685,0.022530492397716533,0.03980208970039321,0.02339122578054412,0.6208831442370533,15
0,0.15681830024490448,0.01959391650712567,0.034835282253803015,0.02178496134926212,0.6300815349300658,16
0,0.14683966442603122,0.017788823064457907,0.03173332694889697,0.02258809356490312,0.6351414725653088,17
0,0.13735605231618822,0.016590190193929284,0.0296046593285718,0.022487702037947997,0.6401767275779354,18
54454,0.09335104997134079,0.011482746877957722,0.020450017262150923,0.05993374159220962,0.10787951589148587,0
54454,0.11614819446615522,0.015714755249919325,0.027683901394375685,0.06404979419736974,0.1217100120944731,1
54454,0.14449481527799302,0.022554958020407734,0.03901920282094634,0.06836662985644011,0.14540532980096263,2
54454,0.17112188004793757,0.02854106643425459,0.04892245689901539,0.073888163838972,0.17622569790114329,3
54454,0.19084466677088185,0.03207602835880202,0.05492122604325928,0.08101596225278586,0.211275022008662,4
54454,0.2086655202959733,0.03589705236220814,0.06125611966571187,0.08784258608573436,0.2546341623951917,5
54454,0.22773696003334962,0.03899786201001036,0.06659238920455682,0.09135628952916373,0.30265831845519336,6
54454,0.24790266270647823,0.04273379526689728,0.07290084463655146,0.09246059632567011,0.3527311321918981,7
54454,0.25717784378094016,0.04492317941442923,0.07648598005651716,0.08814376066659974,0.39539915914531604,8
54454,0.26048668646761663,0.045073249926111,0.07684895906281786,0.08051400461801024,0.43579638481853183,9
